"COUNTRY","TOTALCONS","GDP"
"AUS",179852,537613.644
"AUT",52553,235450.19
"BEL",79166,284950.464
"CAN",503403,901029.605
"CHL",37141,146574.192
"CZE",52292,166568.303
"DNK",32988,153089.947
"EST",5421,13167.133
"FIN",76468,138703.58
"FRA",410393,1589936.939
"DEU",501411,2237046.164
"GRC",44982,210979.958
"HUN",30859,121085.109
"ISL",7061,8377.672
"IRL",20400,114987.727
"ISR",38574,156919.011
"ITA",279319,1542231.344
"JPN",985360,3460607.15
"KOR",263122,871501.091
"LVA",4484,19019.264
"LUX",5775,24155.879
"MEX",148338,1096780.846
"NLD",98592,507779.885
"NZL",34698,82996.391
"NOR",110498,165952.701
"POL",108818,408478.391
"PRT",38939,194323.464
"SVK",22501,61331.765
"SVN",10663,35818.652
"ESP",194709,876008.108
"SWE",131136,262890.9
"CHE",52367,264299.171
"TUR",98296,609198.924
"GBR",340297,1556000.788
"USA",3589779,10250952
